"GroupLasso","MrRCE","OLS","Ridge","rho","rho_hat","sigma_hat","MRCE"
18.1776814548791,13.6992784361754,194.212285672434,14.0065949196315,0,0.0397933552717076,0.973760663326168,215.525540750065
22.3400458024122,21.0344755433224,2873.42466243035,16.1536121018962,0.2,0.127937334877864,0.90333280631449,168.537037726793
21.8416921100785,15.0347597639538,127.089552211397,16.8744095881333,0.4,0.443339068172344,0.974612739331877,197.974602108417
13.8123897815554,10.9946164024783,198.949895661059,11.8478737027149,0.6,0.564748244596359,0.816950117134849,159.179008903875
12.3917859894638,11.7154827941559,104.276199948321,12.8857085487082,0.8,0.780804708006131,1.00083101396744,210.705511624724
19.0641810365408,16.485816589562,258.992224002016,16.08764745466,0,0.071087879123064,0.964848503023069,189.909845554664
22.5483382455706,14.2565685977182,736.066401488453,31.0595557228604,0.2,0.14961909617096,1.08081973174773,267.236748996198
26.7408121628766,18.6867365512068,183.599834989847,21.0313947448423,0.4,0.510717694478421,0.987633445920271,216.014406737774
15.5934912085648,19.1579538315958,250.881827180547,18.032388428094,0.6,0.543795684474853,0.947070516860471,288.650073454222
26.3273426698848,14.4971609197787,167.492162000983,20.9737578938195,0.8,0.822044182290106,1.10917447686304,248.732313963586
19.4467346754668,17.1320140164426,382.184198986138,16.7582061333697,0,0.0329250557394827,1.09376931292644,291.755921487543
17.7041172646481,19.2372906990596,267582.075037621,16.6908473415946,0.2,0.125403204896624,0.965391330534958,182.990014672215
23.399676142494,18.7161263016174,155.586213877645,22.4431889906558,0.4,0.412759529447042,1.0891651289825,259.523243676677
23.2683666439758,19.1584458075299,262.682594174737,22.4968623445441,0.6,0.578630080547327,1.03233929470885,265.531524383346
43.2305888585955,10.6049555685841,619.843497787303,14.040751961263,0.8,0.820557801538479,1.05653222359299,274.351745122838
27.1596814991058,22.4514275806267,1257.28421098888,23.7515625162599,0,0.072469220717817,0.93625457805318,234.16277337883
33.0394389188485,24.1160867808759,2784.72172794447,26.8158115224476,0.2,0.125055939045429,1.03015171431805,316.483878879371
56.0565919512029,35.0001897844422,3245.31554208593,33.5405362671489,0.4,0.421203141061252,0.95547130584032,266.747702255529
25.9259205536998,13.4663204107099,173.993376024371,15.6872140113367,0.6,0.711520399959128,1.02462529394864,285.236684729989
44.3716550159117,18.5163514412581,158.020799317162,29.2863524935273,0.8,0.785504757455446,0.927721060374379,229.135157220075
20.4576452686431,21.1620231046803,74.5585512234644,21.8027191638254,0,0.0920277607354251,0.876906932526333,222.686257254592
29.8192253151375,18.5820827416362,44518.7757957264,15.7896127159579,0.2,0.147812498398976,0.898333087198635,177.52496006676
24.5648437119821,18.6145209497299,274.91976808146,19.1204757032337,0.4,0.531084069058492,1.06173222641744,310.628883921659
20.1437329923634,14.0661012953398,1726.33712830456,18.9199040038883,0.6,0.537066552159704,0.883223073335874,228.264088379629
27.2716507565826,17.6502457169683,1771.87517075216,20.5137196353587,0.8,0.855436869736677,1.14890119041366,280.249642935487
20.5111009850486,19.0676856762257,125.273048133066,18.0608606102315,0,0,1.01069945040277,213.935345649093
20.2862727315475,15.6944524433341,242.262974084124,17.100141998999,0.2,0.265074395556736,1.01681342271289,283.212346792071
25.6690378311497,15.8565389105443,35510.7174954002,30.4002542210482,0.4,0.469862929174617,1.07168674943139,258.465625001803
24.0233173023037,21.0060235986341,54653.5569726407,24.5476092813498,0.6,0.580519035554447,0.916561285577185,293.3972028365
13.2212514445012,10.4526697815414,4601.82660451301,22.060312962322,0.8,0.718319334559047,0.956932692247998,173.452416550074
18.0741968175176,19.9066579393118,2627.31788532515,18.5214174786516,0,0.0360945712667045,1.00196983841009,258.924368860954
22.2788024387149,17.8252727706437,8287.08877386189,20.0131120885093,0.2,0.152944450069651,0.881611167251076,187.45727615057
33.4374658979603,28.073945903386,4301.3410505511,28.3272342474253,0.4,0.532241891204507,0.965217772992238,234.067700595099
16.5165751348148,12.6554645355307,8813.32272543885,19.2553661876051,0.6,0.679740216239328,1.1179224535012,292.668053260582
29.3201203730144,20.3800647551988,232.260865814485,17.3374967337822,0.8,0.735459438705151,0.879628841690822,283.196785550259
16.9570389270344,16.4281349595213,1017.65057349019,17.2743890159416,0,0.0323381299490343,1.01380409313147,265.309686074042
